Year,Month,SearchInterest
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,26
2004,9,0
2004,10,0
2004,11,52
2004,12,23
2005,1,0
2005,2,0
2005,3,0
2005,4,0
2005,5,0
2005,6,19
2005,7,19
2005,8,18
2005,9,0
2005,10,0
2005,11,16
2005,12,0
2006,1,20
2006,2,14
2006,3,12
2006,4,0
2006,5,0
2006,6,13
2006,7,0
2006,8,17
2006,9,0
2006,10,0
2006,11,14
2006,12,10
2007,1,9
2007,2,10
2007,3,13
2007,4,0
2007,5,8
2007,6,9
2007,7,0
2007,8,15
2007,9,8
2007,10,12
2007,11,14
2007,12,18
2008,1,0
2008,2,7
2008,3,6
2008,4,17
2008,5,34
2008,6,13
2008,7,13
2008,8,15
2008,9,12
2008,10,14
2008,11,9
2008,12,6
2009,1,8
2009,2,12
2009,3,5
2009,4,5
2009,5,5
2009,6,11
2009,7,9
2009,8,5
2009,9,10
2009,10,13
2009,11,5
2009,12,8
2010,1,11
2010,2,11
2010,3,9
2010,4,18
2010,5,28
2010,6,5
2010,7,7
2010,8,7
2010,9,6
2010,10,11
2010,11,7
2010,12,10
2011,1,7
2011,2,6
2011,3,6
2011,4,6
2011,5,8
2011,6,7
2011,7,15
2011,8,37
2011,9,12
2011,10,6
2011,11,7
2011,12,6
2012,1,5
2012,2,6
2012,3,8
2012,4,7
2012,5,12
2012,6,23
2012,7,19
2012,8,100
2012,9,13
2012,10,9
2012,11,8
2012,12,8
2013,1,6
2013,2,4
2013,3,8
2013,4,7
2013,5,17
2013,6,9
2013,7,12
2013,8,9
2013,9,5
2013,10,8
2013,11,6
2013,12,7
2014,1,6
2014,2,8
2014,3,8
2014,4,9
2014,5,9
2014,6,11
2014,7,8
2014,8,10
2014,9,9
2014,10,7
2014,11,7
2014,12,7
2015,1,5
2015,2,8
2015,3,6
2015,4,7
2015,5,15
2015,6,10
2015,7,10
2015,8,14
2015,9,10
2015,10,7
2015,11,8
2015,12,8
2016,1,5
2016,2,6
2016,3,7
2016,4,6
2016,5,58
2016,6,11
2016,7,10
2016,8,46
2016,9,9
2016,10,12
2016,11,6
2016,12,4
2017,1,8
2017,2,6
2017,3,8
2017,4,69
2017,5,11
2017,6,11
2017,7,9
2017,8,10
2017,9,5
2017,10,9
2017,11,7
2017,12,7
2018,1,6
2018,2,6
2018,3,6
2018,4,8
2018,5,8
2018,6,10
2018,7,8
2018,8,23
2018,9,8
2018,10,12
2018,11,7
2018,12,5
2019,1,7
2019,2,6
2019,3,10
2019,4,38
2019,5,36
2019,6,72
2019,7,31
2019,8,17
2019,9,15
2019,10,7
